region,Espresso Sabrina Carpenter,song_id
Alabama,20,001
Alaska,0,001
Arizona,24,001
Arkansas,15,001
California,83,001
Colorado,22,001
Connecticut,22,001
Delaware,0,001
District of Columbia,0,001
Florida,63,001
Georgia,17,001
Hawaii,0,001
Idaho,0,001
Illinois,22,001
Indiana,24,001
Iowa,14,001
Kansas,26,001
Kentucky,17,001
Louisiana,18,001
Maine,0,001
Maryland,17,001
Massachusetts,25,001
Michigan,17,001
Minnesota,24,001
Mississippi,14,001
Missouri,17,001
Montana,0,001
Nebraska,36,001
Nevada,27,001
New Hampshire,0,001
New Jersey,26,001
New Mexico,33,001
New York,63,001
North Carolina,100,001
North Dakota,0,001
Ohio,84,001
Oklahoma,17,001
Oregon,24,001
Pennsylvania,81,001
Rhode Island,26,001
South Carolina,27,001
South Dakota,0,001
Tennessee,23,001
Texas,60,001
Utah,29,001
Vermont,0,001
Virginia,27,001
Washington,23,001
West Virginia,22,001
Wisconsin,24,001
Wyoming,0,001
